

Aar	Aar (French), Aare (German)
Doubs	Doubs (French, Spanish), Dubis (Latin), Dhuvis - Δουβης (Ancient Greek)
Douro	Doure (Catalan), Douro (Mirandese, Portuguese, Finnish, French, Esperanto, Dutch, Galego, Hungarian), Duero (Italian, Polish, Spanish), Durius (Latin), Dhureios - Δουρειος (Ancient Greek)
Drave	Drau (German), Drava (Bosnian, Croatian, Estonian, Finnish, Italian, Romanian, Serbian, Slovene), Dráva (Czech, Hungarian), Dravus (Latin), Drawa (Polish)
Drina	Drin / Drini (Albanian), Drina (Bosnian, Catalan, Croatian, Czech, Finnish, German, Hungarian, Italian, Polish, Serbian, Slovene), Dhrinos - Δρινος (Greek and Ancient Greek)
Drwęca	Drewenz (German), Drwęca (Polish)
Dvina, Northern	Dvina or Põhja-Dvina (Estonian) Pohjois-Dvina (Finnish), Dvina Settentrionale (Italian), Dwina (Polish), Norra Dvina or Dvina (Swedish), Severní Dvina (Czech), Severnaya Dvina - Северная Двина (Russian)


Ebro	Ebre (Catalan), Èbre (French), Ebro (Finnish, Italian, German, Hungarian, Polish, Portuguese, Spanish, Swedish), Iberus (Latin), Hèvros - Εβρος (Greek and Ancient Greek)
Eider	Aider (Low Saxon), Egdor or Egdore (Latin), Egða (Icelandic), Eider (German), Ejderen (Danish)
Eisack	Eisack (German), Isarco (Italian), Isarchos - Ισαρχος (Ancient Greek), Hisarcus or Isarus or Isarcus (Latin)
Elbe	Albis (Latin), Elba (Catalan, Hungarian, Italian, Portuguese, Romanian, Spanish), El'ba - Эльба (Russian), Elbe (German, Dutch, Finnish, Swedish, Turkish), Elben (Danish), Elv (Low Saxon), Laba (Serbian, Slovene), Łaba (Polish), Labe (Czech)
Ems	Amisia or Amisus (Latin), Eems (Dutch, Low German), Ems (German), Ems - Эмс (Russian), Emže (Czech), Amisos - Αμισος (Greek and Ancient Greek)
Enns	Anisus (Greek and Latin), Enns (German, Hungarian), Enže (Czech)
euphrates


Fella	Bela (Slovene), Bělá (Czech), Fella (German, Hungarian, Italian)


Garonne	Garona (Aranese, Catalan, Portuguese, Serbian, Spanish), Garonna (Italian, Polish), Garonne (French, Finnish), Garumna (Latin), Garona - Гарона (Russian)
Gironde	Gironda (Catalan, Italian, Portuguese, Spanish), Gironde (French, Finnish), Žironda (Serbian), Żyronda (Polish), Zhironda - Жиронда (Russian)
Glâne	Glâne (French), Glane (German)
Guadalquivir	Baetis (Latin), Guadalquivir (Catalan, Finnish, Italian, Spanish), Gwadalkiwir (Polish), Wādi l-Kabīr الوادي الكبير (Arabic)
Guadiana	Anas (Latin), Guadiana (Catalan, French, Hungarian, Italian, Portuguese, Spanish), Gwadiana (Polish)
Gurk (Carinthia)	Gurk (German), Krka (Bosnian, Croatian, Serbian, Slovene)



Hron	Garam (Hungarian), Gran (German), Hron (Czech, Slovak)
Hornád	Hernád (Hungarian), Hornád (Czech, Slovak)





Ipeľ	Eipel (German), Ipeľ or Jupoľ (Slovak), Ipola (Czech), Ipoly (Hungarian)
Isar	Isara (Latin), Isar (German), Izar - Изар (Russian), Izara (Polish)
Isère	Isara (Latin), Isère (French), Izera (Polish)
Inn	Aenus / Oenus (Latin), En (Romansh), Eno (Italian), Inn (German), Inn - Инн (Russian), Aenos - Αινος (Ancient Greek)



Jeker	Jeker (Dutch), Geer (French)



Körös	Criş (Romanian), Crisus / Crisia / Grisia / Gerasus (Latin), Körös (Hungarian), Kreisch (German [archaic]), Kriš (Bosnian, Croatian, Czech, Serbian, Slovak),
Krka (Slovenia)	Gurk (German), Krka (Bosnian, Croatian, Czech, Serbian, Slovene), Corcoras-Κορκόρας (Greek)
Krka (Croatia)	Cherca (Italian), Corcoras / Korkoras - Κορκορας (Latin and Ancient Greek), Kerka (Hungarian), Krka (Bosnian, Croatian, Czech, Serbian, Slovene), Catarbates-Καταρβάτης (Greek)



Lech	Lech (German), Licca (Latin)
Leitha	Lajta (Hungarian), Leitha (German), Litava (Czech, Slovak), Litawa (Polish)
Ljubljanica	Laibach (German), Ljubljanica (Bosnian, Croatian, Serbian, Slovene), Ľubľanica (Slovak), Lublaňka (Czech)
Loire	Leira (Occitan), Liger (Latin), Loara (Polish, Romanian, Serbian, Slovene), Loira (Catalan, Czech, Italian, Spanish), Loire (Dutch, French, Hungarian, Spanish), Luara - Луара (Russian, Ukrainian)
Lot	Lot (French), Oltis (Latin)
Lys	Leie (Dutch), Lys (French)




Main	Main (German, Dutch, French, Romanian, Swedish, Turkish), Majna (Hungarian, Serbian), Mayn - Майн (Russian, Ukrainian), Men (Polish), Meno (Italian, Portuguese, Spanish), Moënus (Latin), Mohan (Czech, Slovak)
Maritsa	Évros - Έβρος (Greek), Marica (Czech, Hungarian, Polish, Serbian), Meriç (Turkish)
Marne	Måne (Walloon), Marna (Czech, Italian, Polish, Romanian), Marne (Dutch, French, German, Hungarian, Spanish), Matrona (Latin)
Mesta	Mesta - Места (Bulgarian), Nestos - Νέστος (Greek)
Meuse	Maas (Danish, Dutch, German, Hungarian, Swedish), Mása (Czech), Meuse (French), Mosa (Italian, Latin, Portuguese, Spanish), Mouze (Walloon), Moza (Polish)
Morava (Moravia)	March (German), Morava (Czech, Estonian, Italian, Romanian, Slovene), Moravia (Latin), Morawa (Polish), Morva (Hungarian)
Morava (Serbia)	Margus (Latin), Morava (Hungarian, Serbian, Romanian, Slovene), Velika Morava (Estonian), (Velká) Morava (Czech)
Moselle	Moezel (Dutch), Mosel (German, Hungarian, Romanian, Swedish), Mosela (Czech, Portuguese, Spanish), Mosella (Italian, Latin), Mosel·la (Catalan), Moselle (French), Mozela (Polish), Mozel' - Мозель (Russian), Musel (Luxembourgish)
Mur	Mur (German), Mura (Bosnian, Croatian, Czech, Hungarian, Serbian, Slovene)
Mureş	Marisia / Marisus (Latin), Marisos - Μαρισος (Ancient Greek), Maros (Hungarian), Marusza (Polish), Moriš (Bosnian, Croatian, Serbian), Mureş (Romanian), Mieresch (German), Maroš (Czech)





Naab	Nába (Czech)
Narew	Narau - Нараў (Belarusian), Narew (German, Polish), Narev (Czech)
Narva	Narva (Bosnian, Croatian, Czech, Dutch, Estonian, French, German, Swedish), Narva - Нарва (Russian), Narvajoki (Finnish), Narwa (Polish), 나르바 강 (Korean)
(Glatzer) Neisse	Glatzer Neiße (German), Kladská Nisa (Czech), Nysa Kłodzka (Polish)
(Lusatian) Neisse	Lausitzer Neiße (German), Lužická Nisa (Czech), Łužiska Nysa (Sorbian), Nysa Łużycka (Polish)
Neman	Memel (German), Neman - Неман (Russian), Němen (Czech), Nemuna (Latvian), Nemunas (Dutch, Estonian, Lithuanian, Norwegian), Niémen (French), Niemen (Polish), Njemen (Swedish), Nyoman - Нёман (Belarusian)
Neretva	Narenta (Italian), Naro (Latin), Neretva (Bosnian, Croatian, Czech, Slovene), Neretva - Неретва (Serbian), Neretwa (Polish)
Neva	Neeva (Estonian), Neva (Dutch, Italian, Portuguese, Romanian, Serbian, Swedish), Neva - Нева (Russian), Něva (Czech), Newa (German, Polish), Néva (Hungarian), Nevan (Swedish variant)
Nitra	Neutra (German), Nitra (Czech, Slovak), Nyitra (Hungarian)
Noteć	Natissis (Latin), Netze (German), Noteć (Polish), Noteč (Czech)
Nysa Szalona	Nysa Szalona (Polish), Wütende Neiße or Jauersche Neiße (German), Šílená Nisa (Czech)



Oder	Oder (French, German, Dutch, Italian, Portuguese, Spanish, Swedish, Turkish), Òder (Catalan), Odera (Hungarian), Odera or Oddera (medieval Latin), Odra (Bosnian, Croatian, Czech, Estonian, Polish, Romanian, Slovak, Slovene), Viadua, Viadrua, or Viadrus (Latin), Viadros - Βιαδρος (Ancient Greek)
Ohře	Eger (German), Ohrza (Polish), Ohře (Czech)
Olt	Aluta (Polish), Alutus (Latin), Olt (Hungarian, Romanian), Alt (German), Alytos - Αλυτος (Greek)
Olza	Olsa (German), Olša (Slovak), Olše (Czech), Olza (Polish)
Orava	Arva (Latin), Árva (Hungarian), Arwa (German), Orava (Czech, Slovak), Orawa (Polish)
Oulujoki	Oulujoki (Finnish), Ule älv (Norwegian, Swedish)
Ourthe	Ourte (former French [French Empire]), Ourthe (French), Oûte (Walloon)



Peene	Peene (German), Piana (Polish), Pěna (Czech)
Piave	Piave (Italian), Piawa (Polish), Plavá (Czech), Plavis (Latin)
Po	Padus or Eridanus (Latin), Pàdhos - Παδος and Eridanos - Ηριδανος (Greek and Ancient Greek), Pád (Czech), Pad (Polish, Slovene), Po (Catalan, Dutch, Italian, Maltese, Romanian, Spanish, Turkish), Pó (Hungarian, Portuguese)
Pregolya	Pregel (German, Hungarian), Pregoła (Polish), Pregola (Czech, variant in English), Pregolja (Finnish), Pregolya - Преголя (Russian), Vatrulia (Latin)
Pripyat	Pripet (Finnish), Pripjaty (Hungarian), Pripyat' - Припять (Russian), Prypeć (Polish), Pryp'yat' - Прип'ять (Ukrainian), Prypyats' - Прыпяць (Belarusian), Pripjať, Prypjať, Pripěť (Czech)
Prut	Prut (Czech, Hungarian, Polish, Romanian, Turkish), Prut - פּרוט (Yiddish), Pruth (German), Pyretus (Latin), Pyretòs - Πυρετος (Greek and Ancient Greek)





Rába	Arabo or Raba (Latin), Raab (German), Rába (Czech, Hungarian), Raba (Romanian, Slovene), Aravos - Αραβος (Ancient Greek)
Rhine	Rajna (Bosnian, Croatian, Hungarian, Serbian), Rayn - רײַן (Yiddish), Rein (Estonian, Finnish), Ren (Polish, Slovene, Turkish), Reno (Italian, Portuguese), Renu (Maltese), Reyn - Рейн (Bulgarian, Russian, Ukrainian), Reyn - Рэйн (Belarusian), Rhein (German), Rhen (Swedish), Rhenus (Latin), Rhin (French), Rhinen (Danish), Rhinos - Ρηνος (Greek), Rijn (Dutch), Rin (Catalan, Romanian, Spanish, Walloon), Ryn (Afrikaans), Rýn (Czech, Slovak)
Rhône	Rhodanus (Latin), Rhodanòs - Ροδανος (Greek and Ancient Greek), Rhône (Estonian, Dutch, French), Rhone (German, Hungarian), Rodan (Polish), Rodano (Italian), Ródano (Portuguese, Spanish), Roine (Catalan), Ron (Romanian), Rona - Рона (Bulgarian, Russian, Serbian), Rona (Slovene), Róna (Czech), Ròse (Occitan), Rotten (old German name, still used in Swiss German dialect of Valais)
Rienz-Rienza	Rienz (German), Rienza (Italian)
Rubicon	Rubicone (Italian), Rubicon (Danish, French, Hungarian, Dutch, Norwegian, Swedish, Romanian), Rubikon (Czech, Finnish, German, Polish, Finnish, Slovene), Rubikon - Рубикон (Bulgarian, Russian), Rubicó (Catalan), Rubicón (Spanish), Rubicão (Portuguese)
Rur	Roer (Dutch), Roule / Rour (French, Walloon), Rur (German, Romanian)


Saane/Sarine	Saane (German), Sarine (French)
Saale	Saale (German), Sala (Latin, Polish), Sála (Czech)
Saar	Saar (Danish, German, Hungarian, Italian, Romanian), Saar - Саар (Russian), Saara (Polish), Saravus (Latin), Sarre (French, Portuguese, Spanish)
Sajó	Sajó (Hungarian), Salza (German), Slaná (Czech, Slovak)
Sambre	Sabis (Latin), Saves - Σαβης (Ancient Greek), Sambe (Walloon), Samber (Dutch), Sambra (Polish), Sambre (Catalan, French, German)
Saônes	Arar (Latin), Saona (Catalan, Czech, Italian, Polish, Portuguese, Spanish), Saône (Estonian, Dutch, French, German, Hungarian)
Sava	Sava (Bosnian, Croatian, Italian, Romanian, Serbian, Slovene, Turkish), Sáva (Czech), Save (German, variant in English), Savus (Latin), Sawa (Polish), Száva (Hungarian), Sàvos - Σαβος (Ancient Greek)
Scheldt	Escalda (Spanish), Escaut (French), Escô (Walloon), Schelda (Italian), Schelde (Dutch, German, Hungarian, Swedish), Šelda (Czech), Skalda (Polish)
Seine	Szajna (Hungarian), Seine (Dutch, French, German, Swedish variant), Séna, Seina (Czech), Seinen (Danish, Swedish), Sikouànas - Σηκουάνας (Greek), Sekwana (Polish), Sen (Turkish), Sena (Catalan, Galician, Portuguese, Romanian, Spanish, Slovene), Sena - Сена (Serbian, Russian, Ukrainian), Senna (Italian), Sequana or Sequanna (Celtic), Sequana or Sequanus (Latin), Sinne (Walloon)
Semois	Semois (French [Belgium]), Semoy (French [France]), Séisbaach (Luxembourgish)
Sense/Singine	Sense (German), Singine (French)
Severn	(Afon) Hafren (Welsh), Sabrina (Latin)
Siret	Sireth (traditional English), Hierasus (Latin), Hierasòs - Ιερασος (Ancient Greek), Seret (Polish), Siret (Romanian), Szeret (Hungarian), Сирет (Russian)
Soča	Aesontius / Sontius (Latin), Aepsòdios - Αιψωντιος (Ancient Greek), Isonzo (German, Italian), Isonzó (Hungarian), Soča (Czech, Slovene)
Someş	Someş (Romanian), Szamos (Hungarian)
Someşul Mare	Someşul Mare (Romanian), Nagy-Szamos (Hungarian)
Someşul Mic	Someşul Mic (Romanian), Kis-Szamos (Hungarian)
Somme	Somma (Polish), Somme (French, German, Hungarian, Romanian, Swedish)
Spey	Spè (Scottish Gaelic)
Spree	Spree (German, Swedish), Spréva (Czech), Spreva (Latin), Sprewa / Szprewa (Polish), Sprjewja (Lower Sorbian), Sprowja / Sprewja / Šprewa (Sorbian)
Struma	Karasu (Turkish), Strimónas - Στρυμώνας (Greek), Strouma (French, variant in English), Struma - Струма (Bulgarian, Serbian), Struma (Czech), Strymon (ancient Greek, Latin, variant in English), Sztruma (Hungarian)
Sûre	Sauer (German, Luxembourgish), Sûre (French), Sura (Latin, Italian)
Świna	Świna (Polish), Swina (Pomeranian), Svina (Czech), Swine (German)


Tagus	Taag (Afrikaans, Dutch), Tachas (Lituanian), Tag (Polish), Tage (Old Catalan, French), Tago (Italian), Tagus (Latin), Tajo (Spanish, Finnish), Tejo (Portuguese), Texo (Galician), Taho - Тахо (Russian), Tàghos - Ταγος (Ancient Greek), Thaya (German)
Tay	Tatha (Scottish Gaelic)
Thames	An Tamais (Irish), Tafwys (Welsh), Tamesa (variant in Latin), Tàmesi (Catalan), Tamesis (Latin), Tàmesis - Ταμεσης (Greek), Támesis (Spanish), Tamigi (Italian), Tamisa (Portuguese, Romanian), Tamise (French), Tamiza (Polish), Temza (Slovene), Temza - Темза (Bulgarian, Serbian, Russian), Temže (Czech), Temze (Hungarian), Theems (Afrikaans, Dutch), Themse (German), Themsen (Danish, Swedish)
Tisza	Cisa (Polish), Theiß (German), Tibisco (Italian), Tisa (Czech, Romanian, Serbian, Slovak, Slovene), Tisia (Latin), Tisza (Dutch, Hungarian)
Thielle	Thielle (French), Zihl (German)
Tiber	Tevere (Italian, Maltese), Tiveris - Τιβερης (Greek), Tibar (Serbian), Tiber (Afrikaans, Dutch, German, Latin, Spanish, Turkish), Tíber (Catalan), Tibera (Czech, Slovene), Tibern (Swedish), Tibr - Тибр (Russian), Tibr - Тібр (Ukrainian), Tibre (Portuguese), Tibru (Romanian), Tyber (Polish)
Ticino	Tessin (French, German), Ticino (Italian), Ticinus (Latin)
Timiş	Tamiš (Serbian), Temes (Hungarian), Temeš (Czech), Tibiscus / Tibisis (Latin), Timiş (Romanian), Thybiscos - Θυμπισκος (Ancient Greek)
Torne River	Duortneseatnu (Northern Sami), Torne älv (Swedish), Tornionjoki (Finnish), Tornionväylä (Meänkieli)



Ural	Ural or Oeral (Dutch), Ural (Czech, Italian), Ural - Урал (Russian), Zhayyq - Жайық (Kazakh)





Váh	Cusus (variant in Latin), Vág (Hungarian), Vagus (Latin), Váh (Czech, Slovak), Waag (German), Wag (Polish)
Vardar	Axiós - Αξιος (Greek), Vardar (Bulgarian, Czech, Hungarian, Italian, Serbian, Slovene, Macedonian, Romanian, Turkish), Vardar or Wardar (German), Wardar (Polish)
Venta	Venta (Czech, Latvian, Lithuanian), Windau (German), Windawa (Polish)
Vistula	Vaysl - װײַסל (Yiddish), Veiksel (Finnish), Visla (Czech, Slovak, Slovene), Visla - Висла (Bulgarian, Russian, Serbian), Visla - Вісла (Ukrainian), Vistola (Italian), Vistül (Turkish), Vistula (Latin, Romanian, Swedish variant), Vístula (Catalan, Portuguese, Spanish), Vistule (French), Visztula (Hungarian), Weichsel (German, Swedish variant), Wisła (Polish, Swedish variant), Wisła or Visla (Estonian)
Vltava	Moldau (Dutch, German, Swedish), Moldva (Hungarian), Moldava (Italian, Spanish), Moldavia or Multavia (Latin), Vltava (Czech, Romanian, Slovene, Finnish), Vltava - Влтава (Serbian, Russian, Ukrainian), Wełtawa (Polish)
Volga	İdil or İtil (former Turkish), Rha (Latin), Volga (Catalan, Finnish, Hungarian, Italian, Maltese, Portuguese, Romanian, Spanish, Slovene, Swedish, Turkish), Volga - Волга (Russian, Serbian), Volgan (Swedish variant) Volha (Czech), Wolga (Afrikaans, Dutch, German), Wołga (Polish), Vòlghas - Βολγας (Greek)


Waal	Vacalis / Vahalis / Valis (Latin), Waal (Dutch, German)
Warta	Varta (Czech, Latin), Warta (Polish), Warthe (German, Swedish)
Weser	Vesdre (French), Vesera (Czech), Visurgis (Latin), Werser (Low Saxon), Weser (German), Wezera (Polish)
Wye	Gwy (Welsh)



Yser	IJzer (Dutch), Yser (French)



Zrmanja	Zrmanja (Bosnian, Croatian, Serbian), Zermagna (Italian)
